Name,Address,Latitude,Longitude
Укриття, м. Львів	вулиця	Братів Міхновських	33б,49.8418743,24.0033634
Укриття, м. Львів	вулиця	Братів Міхновських	34,49.8422281,24.003683
Укриття, м. Львів	вулиця	Братів Міхновських	35,49.84218809999999,24.0033158
Укриття, м. Львів	вулиця	Братів Міхновських	36,49.8427035,24.0036413
Укриття, м. Львів	вулиця	Братів Міхновських	37,49.8429461,24.0030189
Укриття, м. Львів	вулиця	Братів Міхновських	38,49.84294209999999,24.0035202
Укриття, м. Львів	вулиця	Братів Міхновських	39,49.8432348,24.0025728
Укриття, м. Львів	вулиця	Братів Міхновських	40а,49.8430729,24.0035037
Укриття, м. Львів	вулиця	Братів Міхновських	41,49.8433492,24.0031138
Укриття, м. Львів,49.839683,24.029717
Укриття, м. Львів	вулиця	Братів Рогатинців	9,49.84012,24.0318122
Укриття, м. Львів	вулиця	Братів Тимошенків	2а,49.83061559999999,24.0178632
Укриття, м. Львів	вулиця	Братів Тимошенків	2б,49.83061559999999,24.0178632
Укриття, м. Львів	вулиця	Братуня Р.	3,49.8286281,24.0481193
Укриття, м. Львів	вулиця	Брюховицька	33,49.8642909,23.9689995
Укриття, м. Львів	вулиця	Буйка П.,49.8122931,24.0327406
Укриття, м. Львів	вулиця	Букова	8,49.8344136,24.079235
Укриття, м. Львів	вулиця	Вагилевича І.	1,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагилевича І.	2,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагилевича І.	3,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагилевича І.	4,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагилевича І.	5,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагилевича І.	6,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагилевича І.	7,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагилевича І.	8,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагилевича І.	9,49.8334948,24.041518
Укриття, м. Львів	вулиця	Вагонна	20,49.8264303,23.9761454
Укриття, м. Львів	вулиця	Вагонна	7,49.8265983,23.9766838
Укриття, м. Львів	вулиця	Валова	13,49.8399446,24.0328996
Укриття, м. Львів	вулиця	Валова	14,49.8396469,24.0330007
Укриття, м. Львів	вулиця	Валова	16,49.8398212,24.0334615
Укриття, м. Львів	вулиця	Валова	19,49.8402217,24.0338575
Укриття, м. Львів	вулиця	Валова	2,49.8392968,24.0308317
Укриття, м. Львів	вулиця	Валова	23,49.84035979999999,24.0343866
Укриття, м. Львів	вулиця	Валова	25,49.8404288,24.0346512
Укриття, м. Львів	вулиця	Валова	27,49.84049779999999,24.0349157
Укриття, м. Львів	вулиця	Валова	29,49.84056690000001,24.0351803
Укриття, м. Львів	вулиця	Валова	3,49.83964959999999,24.0312519
Укриття, м. Львів	вулиця	Валова	3,49.83964959999999,24.0312519
Укриття, м. Львів	вулиця	Валова	3,49.83964959999999,24.0312519
Укриття, м. Львів	вулиця	Валова	4,49.839365,24.0311965
Укриття, м. Львів	вулиця	Валова	5,49.839671,24.0315406
Укриття, м. Львів	вулиця	Варшавська	136,49.8646356,24.0123824
Укриття, м. Львів	вулиця	Варшавська	35а,49.8576014,24.0114635
Укриття, м. Львів	вулиця	Варшавська	56,49.8593023,24.0106943
Укриття, м. Львів	вулиця	Варшавська	64,49.8598939,24.0095448
Укриття, м. Львів	вулиця	Варшавська	68,49.8611249,24.0086701
Укриття, м. Львів	вулиця	Васильківського С.	10,49.8326746,24.0012456
Укриття, м. Львів	вулиця	Васильківського С.	9,49.8325486,24.0006607
Укриття, м. Львів	вулиця	Васильченка С.	14,49.8564351,24.0604985
Укриття, м. Львів	вулиця	Вахнянина А.	27,49.8291628,24.0563838
Укриття, м. Львів	вулиця	Вашингтона Дж.	11,49.8158182,24.0703492
Укриття, м. Львів	вулиця	Вашингтона Дж.	13,49.8158182,24.0703492
Укриття, м. Львів	вулиця	Вашингтона Дж.	13,49.8158182,24.0703492
Укриття, м. Львів	вулиця	Вашингтона Дж.	15,49.8158182,24.0703492
Укриття, м. Львів	вулиця	Вашингтона Дж.	17,49.8158182,24.0703492
Укриття, м. Львів	вулиця	Вашингтона Дж.	21,49.8158182,24.0703492
Укриття, м. Львів	вулиця	Вашингтона Дж.	4а,49.8158182,24.0703492
Укриття, м. Львів	вулиця	Вашингтона Дж.	4б,49.815829,24.0659699
Укриття, м. Львів	вулиця	Вашингтона Дж.	4в,49.8158182,24.0703492
